[12-24-2024][00.00.22] New Synch Log File Created!
[16:12:04] Player (Daryl Dixon, 76561199643612211)(<6044.596680, 34.846451, 10431.335938>) requested data for lock!
[16:12:05] Player (Daryl Dixon, 76561199643612211)(<6042.112793, 34.846451, 10435.593750>) requested data for lock!
[16:19:51] Player (Daryl Dixon, 76561199643612211)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[16:19:51] Player (Daryl Dixon, 76561199643612211)(<4859.762207, 5.448579, 11280.096680>) requested data for lock!
[16:20:00] Player (Daryl Dixon, 76561199643612211)(<4871.779297, 5.720881, 11321.981445>) requested data for lock!
[16:20:00] Player (Daryl Dixon, 76561199643612211)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[16:20:34] Player (Daryl Dixon, 76561199643612211)(<4871.779297, 5.720881, 11321.981445>) requested data for lock!
[16:20:34] Player (Daryl Dixon, 76561199643612211)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[16:46:58] Player (Daryl Dixon, 76561199643612211)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[16:46:58] Player (Daryl Dixon, 76561199643612211)(<4859.762207, 5.448579, 11280.096680>) requested data for lock!
[16:47:08] Player (Daryl Dixon, 76561199643612211)(<4871.779297, 5.720881, 11321.981445>) requested data for lock!
[16:47:08] Player (Daryl Dixon, 76561199643612211)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[16:47:09] Player (Daryl Dixon, 76561199643612211)(<4862.399414, 5.761878, 11325.787109>) requested data for lock!
[16:52:24] Player (Daryl Dixon, 76561199643612211)(<6042.112793, 34.846451, 10435.593750>) requested data for lock!
[16:52:27] Player (Daryl Dixon, 76561199643612211)(<6044.596680, 34.846451, 10431.335938>) requested data for lock!
[12-24-2024][17.00.23] Log file reloaded ( Server Restart )
[19:02:07] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[19:02:07] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[19:02:07] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[19:02:07] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[19:02:13] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:02:14] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:02:14] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:02:15] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:02:15] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:02:15] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:02:15] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:04:45] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[19:04:45] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[19:04:45] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[19:04:45] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[19:07:41] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[19:07:41] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[19:07:41] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[19:07:42] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[19:07:52] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:07:55] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:07:55] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:07:55] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:07:55] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:07:58] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:07:58] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:08:09] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:08:11] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:08:11] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:08:11] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:08:12] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:08:12] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:08:12] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:17:18] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[19:17:18] Player (Daryl Dixon, 76561199643612211)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[19:17:19] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[19:17:19] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[19:17:23] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:17:23] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:17:24] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:17:24] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:17:24] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:17:24] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:17:25] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:18:48] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:18:48] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:18:48] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:18:49] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:18:49] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:18:49] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:18:49] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:20:16] Player (Daryl Dixon, 76561199643612211)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[19:20:16] Player (Daryl Dixon, 76561199643612211)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[19:20:17] Player (Daryl Dixon, 76561199643612211)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[19:20:19] Player (Daryl Dixon, 76561199643612211)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[19:20:19] Player (Daryl Dixon, 76561199643612211)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[19:20:19] Player (Daryl Dixon, 76561199643612211)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[19:20:19] Player (Daryl Dixon, 76561199643612211)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[19:20:19] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[19:20:20] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[19:20:20] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[19:56:22] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[19:56:22] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[19:56:22] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[20:03:51] Player (Daryl Dixon, 76561199643612211)(<9318.663086, 54.329174, 13091.610352>) requested data for lock!
[20:03:51] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[20:03:51] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
[20:04:19] Player (Daryl Dixon, 76561199643612211)(<9317.154297, 54.329174, 13091.982422>) requested data for lock!
[20:04:19] Player (Daryl Dixon, 76561199643612211)(<9316.858398, 54.329174, 13092.093750>) requested data for lock!
